# === Smart Elections Parser - URL List ===
# Add one URL per line below. Lines starting with "#" are ignored.
# These can represent state election result portals, PDF links, or JSON endpoints.

# Schema (tab-delimited): year	contest	state	county_or_scope	format	notes	url
# Curated block above; legacy/unsorted backlog remains below for future cleanup.

# === Curated | 2024 General (statewide) ===
2012	President	Mississippi	statewide	HTML	Official results	https://www.sos.ms.gov/elections-voting/election-results/2012-election-results/2012-general-election
2012	President	Florida	statewide	HTML	Results index	https://results.elections.myflorida.com/Index.asp?ElectionDate=11/6/2012&DATAMODE=
2012	President	Montana	statewide	PDF	General canvass	https://sosmt.gov/Portals/142/Elections/archives/2010s/2012/2012_General_Canvass.pdf?dt=1523477333219
2012	President	Ohio	statewide	HTML	Election results	https://www.sos.state.oh.us/elections/election-results-and-data/2012-elections-results/
2012	Senate	Ohio	statewide	HTML	Election results	https://www.ohiosos.gov/elections/election-results-and-data/2012-elections-results/
2012	President	Maryland	statewide	HTML	General detail	https://www.elections.maryland.gov/elections/2012/results/general/gen_detail_results_2012_4_BOT001-.html
2012	President	Virginia	statewide	HTML	Historical results	https://historical.elections.virginia.gov/elections/view/44930/
2012	House of Representatives	Kentucky	statewide	HTML	Primary/general results	https://elect.ky.gov/results/2010-2019/Pages/2012primaryandgeneralelectionresults.aspx
2012	President	Alabama	statewide	PDF	Amended certified	https://www.sos.alabama.gov/sites/default/files/voter-pdfs/2012/statecert-amended-general-12-17-2012.pdf
2012	President	Connecticut	statewide	HTML	Contest page	https://electionhistory.ct.gov/eng/contests/view/5480
2012	President	Vermont	statewide	HTML	Contest page	https://electionarchive.vermont.gov/elections/view/68979/
2012	Senate	Vermont	statewide	HTML	Contest page	https://electionarchive.vermont.gov/elections/view/68980/
2012	President	West Virginia	statewide	CSV	Download	https://apps.sos.wv.gov/elections/results/download.aspx?year=2012&eid=13
2012	Senate	West Virginia	statewide	HTML	Results portal	https://apps.sos.wv.gov/elections/results/Default.aspx?year=2012&eid=13
2016	President	Massachusetts	statewide	HTML	ElectionStats portal	https://electionstats.state.ma.us/elections/view/130243/
2012	President	Wyoming	statewide	HTML	State ENR	https://sos.wyo.gov/Elections/Docs/2012/2012GeneralResults.aspx
2016	President	Alaska	statewide	HTML	Official results	https://www.elections.alaska.gov/results/16GENR/index.php#officialresults
2016	President	Illinois	statewide	CSV	Download vote totals	https://www.elections.il.gov/electionoperations/DownloadVoteTotals.aspx
2016	President	Colorado	statewide	HTML	Historical data search	https://historicalelectiondata.coloradosos.gov/search?gf=e&e[0]=17
2016	President	Idaho	statewide	HTML	Archived results	https://voteidaho.gov/election-results/#archived-results
2016	President	Indiana	statewide	HTML	Historical ENR	https://enr.indianavoters.in.gov/archive/2016General/index.html
2016	President	North Dakota	statewide	HTML	ResultsSW portal	https://results.sos.nd.gov/ResultsSW.aspx?text=All&type=SW&map=CTY&eid=NT3DecKycoM.
2016	President	Wyoming	statewide	HTML	Official results	https://sos.wyo.gov/Elections/Docs/2016/2016GeneralResults.aspx
2012	President	Idaho	statewide	HTML	Canvass portal	https://canvass.sos.idaho.gov/eng/contests/view/336
2012	President	Massachusetts	statewide	HTML	ElectionStats portal	https://electionstats.state.ma.us/elections/view/112698/
2012	Senate	Massachusetts	statewide	HTML	ElectionStats portal	https://electionstats.state.ma.us/elections/view/112702/
2012	President	North Dakota	statewide	CSV	Results export	https://results.sos.nd.gov/ResultsExport.aspx?eid=vp_Q9Zt7wF4.
2012	President	Oklahoma	statewide	HTML	Results portal	https://results.okelections.gov/OKER/?elecDate=20121106
2024	House of Representatives	Illinois	statewide	HTML	Results portal	https://www.elections.il.gov/electionoperations/ElectionVoteTotals.aspx?ID=9huvqbsiUWA%3d&OfficeType=LpWf6lpbWOfBN3kEuxRi3A%3d%3d
2020	House of Representatives	New York	statewide	HTML	Results search	https://results.elections.ny.gov/search?df=2020&dt=2020&bq=false&coff[0].i=13
2016	House of Representatives	Texas	statewide	HTML	Race select archive	https://elections.sos.state.tx.us/elchist319_raceselect.htm
2016	House of Representatives	Virginia	statewide	HTML	Historical results	https://historical.elections.virginia.gov/elections/search/year_from:2016/year_to:2016/office_id:5/stage:General
2016	House of Representatives	Tennessee	statewide	HTML	State results portal	https://sos.tn.gov/elections/results#2016
2020	House of Representatives	Colorado	statewide	HTML	Historical data search	https://historicalelectiondata.coloradosos.gov/search?gf=f&f[0]=67
2020	House of Representatives	Utah	statewide	HTML	Official results landing (select 2020 General → US House)	https://elections.utah.gov/election-resources/election-results-and-canvass
2016	House of Representatives	Minnesota	statewide	HTML	General election results	https://www.sos.mn.gov/elections-voting/election-results/2016/2016-general-election-results/
2016	Senate	Nebraska	statewide	PDF	State canvass (no US Senate contest in 2016; archive for completeness)	https://sos.nebraska.gov/sites/sos.nebraska.gov/files/doc/elections/2016/2016%20General%20Election%20Results.pdf
2016	House of Representatives	New Mexico	statewide	HTML	Past election results	https://www.sos.nm.gov/voting-and-elections/election-results/past-election-results-2016/
2012	House of Representatives	Alaska	statewide	HTML	Official results	https://www.elections.alaska.gov/results/12GENR/index.php#officialresults
2012	House of Representatives	Iowa	statewide	PDF	Canvass summary	https://sos.iowa.gov/elections/pdf/2012/general/canvsummary.pdf
2025	House of Representatives	Tennessee	statewide	HTML	District 7 county breakdown	https://elections.tn.gov/county-breakdown/United%20States%20House%20of%20Representatives%20District%207
2020	House of Representatives	Connecticut	statewide	HTML	Contest search	https://electionhistory.ct.gov/eng/contests/search/year_from:2020/year_to:2020/office_id:330/stage:et-id-3


